T_bin,refl39_med,re_proxy_med,celula,metade,quando,n,valido_re,pulso
-55.0,0.02672230241446568,8.236002755639614,C29,traseira,2024-05-02 1300UT,3860,1,P1
-50.0,0.030336816389678216,7.394392030570405,C29,traseira,2024-05-02 1300UT,2505,1,P1
-45.0,0.036512511946385696,6.431163933619508,C29,traseira,2024-05-02 1300UT,1919,1,P1
-55.0,0.0337169868808371,6.807225515752684,C30,frente,2024-05-02 1300UT,24,1,P1
-50.0,0.04064181839981919,6.014765860829252,C30,frente,2024-05-02 1300UT,136,1,P1
-45.0,0.040731609708369594,6.006920408752727,C30,frente,2024-05-02 1300UT,189,1,P1
-55.0,0.03959209637565498,6.108014081370166,C30,traseira,2024-05-02 1300UT,32,1,P1
-50.0,0.03997641722627572,6.072329318013898,C30,traseira,2024-05-02 1300UT,98,1,P1
-45.0,0.04259388639531345,5.862178329210284,C30,traseira,2024-05-02 1300UT,87,1,P1
-70.0,0.03881738553799596,6.181063440631271,C29,frente,2024-05-02 1400UT,207,1,P1
-65.0,0.0204837018448124,10.442411363084938,C29,frente,2024-05-02 1400UT,3511,1,P1
-60.0,0.01923316745089096,11.040177677239974,C29,frente,2024-05-02 1400UT,13976,1,P1
-55.0,0.019309654466407603,11.001800511500239,C29,frente,2024-05-02 1400UT,15661,1,P1
-50.0,0.02104734296319368,10.192691390903615,C29,frente,2024-05-02 1400UT,15884,1,P1
-45.0,0.024534381686053007,8.883223371112914,C29,frente,2024-05-02 1400UT,8813,1,P1
-70.0,0.020820290468952056,10.29187791409295,C29,traseira,2024-05-02 1400UT,11050,1,P1
-65.0,0.021090473524773817,10.174061247590096,C29,traseira,2024-05-02 1400UT,14339,1,P1
-60.0,0.019845988143431633,10.739459466949109,C29,traseira,2024-05-02 1400UT,11305,1,P1
-55.0,0.020159496193578305,10.59145402712495,C29,traseira,2024-05-02 1400UT,5377,1,P1
-50.0,0.023093579402293153,9.378614945439788,C29,traseira,2024-05-02 1400UT,3796,1,P1
-45.0,0.03160717669782069,7.1538695860640775,C29,traseira,2024-05-02 1400UT,2080,1,P1
-55.0,0.030826682956253203,7.298615845120877,C30,frente,2024-05-02 1400UT,35,1,P1
